Grand Parent,Grand Parent Description,Parent,Parent Description,Child,Child Description,Grand Child,2023-09-02 00:00:00
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.1 Security Defaults,"The Azure ""Security Defaults"" recommendations represent an entry-level set of recommendations which will be relevant to organizations and tenants that are either just starting to use Azure as an IaaS solution, or are only utilizing a bare minimum feature set such as the freely licensed tier of Azure Active Directory. Security Defaults recommendations are intended to ensure that these entry-level use cases are still capable of establishing a strong baseline of secure configuration.",Ensure Security Defaults is enabled on Azure Active Directory,Security defaults in Azure Active Directory (Azure AD) make it easier to be secure and help protect your organization. Security defaults contain preconfigured security settings for common attacks. Microsoft is making security defaults available to everyone. The goal is to ensure that all organizations have a basic level of security enabled at no extra cost. You may turn on security defaults in the Azure portal.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.1 Security Defaults,"The Azure ""Security Defaults"" recommendations represent an entry-level set of recommendations which will be relevant to organizations and tenants that are either just starting to use Azure as an IaaS solution, or are only utilizing a bare minimum feature set such as the freely licensed tier of Azure Active Directory. Security Defaults recommendations are intended to ensure that these entry-level use cases are still capable of establishing a strong baseline of secure configuration.",Ensure that 'Multi-Factor Auth Status' is 'Enabled' for all Privileged Users,"Enable multi-factor authentication for all roles, groups, and users that have write access or permissions to Azure resources.",Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.1 Security Defaults,"The Azure ""Security Defaults"" recommendations represent an entry-level set of recommendations which will be relevant to organizations and tenants that are either just starting to use Azure as an IaaS solution, or are only utilizing a bare minimum feature set such as the freely licensed tier of Azure Active Directory. Security Defaults recommendations are intended to ensure that these entry-level use cases are still capable of establishing a strong baseline of secure configuration.",Ensure that 'Multi-Factor Auth Status' is 'Enabled' for all Non-Privileged Users,Enable multi-factor authentication for all non-privileged users.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.1 Security Defaults,"The Azure ""Security Defaults"" recommendations represent an entry-level set of recommendations which will be relevant to organizations and tenants that are either just starting to use Azure as an IaaS solution, or are only utilizing a bare minimum feature set such as the freely licensed tier of Azure Active Directory. Security Defaults recommendations are intended to ensure that these entry-level use cases are still capable of establishing a strong baseline of secure configuration.",Ensure that 'Restore multi-factor authentication on all remembered devices' is Enabled,Do not allow users to remember multi-factor authentication on devices.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.2 Conditional Access,"For most Azure tenants, and certainly for organizations with a significant use of Azure Active Directory, Conditional Access policies are recommended and preferred. To use conditional access policies, a licensing plan is required, and Security Defaults must be disabled.",Ensure Trusted Locations Are Defined,"Azure Active Directory Conditional Access allows an organization to configure Named locations and configure whether those locations are trusted or untrusted. These settings provide organizations the means to specify Geographical locations for use in conditional access policies, or define actual IP addresses and IP ranges and whether or not those IP addresses and/or ranges are trusted by the organization.",Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.2 Conditional Access,"For most Azure tenants, and certainly for organizations with a significant use of Azure Active Directory, Conditional Access policies are recommended and preferred. To use conditional access policies, a licensing plan is required, and Security Defaults must be disabled.",Ensure that an exclusionary Geographic Access Policy is considered,Conditional Access Policies can be used to block access from geographic locations that are deemed out-of-scope for your organization or application. The scope and variables for this policy should be carefully examined and defined.,Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.2 Conditional Access,"For most Azure tenants, and certainly for organizations with a significant use of Azure Active Directory, Conditional Access policies are recommended and preferred. To use conditional access policies, a licensing plan is required, and Security Defaults must be disabled.",Ensure that A Multi-factor Authentication Policy Exists for Administrative Groups,"For designated users, they will be prompted to use their multi-factor authentication (MFA) process on login.",Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.2 Conditional Access,"For most Azure tenants, and certainly for organizations with a significant use of Azure Active Directory, Conditional Access policies are recommended and preferred. To use conditional access policies, a licensing plan is required, and Security Defaults must be disabled.",Ensure that A Multi-factor Authentication Policy Exists for All Users,"For designated users, they will be prompted to use their multi-factor authentication (MFA) process on logins.",Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.2 Conditional Access,"For most Azure tenants, and certainly for organizations with a significant use of Azure Active Directory, Conditional Access policies are recommended and preferred. To use conditional access policies, a licensing plan is required, and Security Defaults must be disabled.",Ensure Multi-factor Authentication is Required for Risky Sign-ins,"For designated users, they will be prompted to use their multi-factor authentication (MFA) process on login.",Manual verification required.,Manual
1 Identity and Access Management,This section covers security recommendations to set identity and access management policies on an Azure Subscription. Identity and Access Management policies are the first step towards a defense-in-depth approach to securing an Azure Cloud Platform environment.,1.2 Conditional Access,"For most Azure tenants, and certainly for organizations with a significant use of Azure Active Directory, Conditional Access policies are recommended and preferred. To use conditional access policies, a licensing plan is required, and Security Defaults must be disabled.",Ensure Multi-factor Authentication is Required for Azure Management,"For designated users, they will be prompted to use their multi-factor authentication(MFA) process on logins.","relation ""azuread_conditional_access_policy"" does not exist (SQLSTATE 42P01)",Error
